Application Name,Application IDs,Reference
Microsoft Exact Data Match Service,273404b8-7ebc-4360-9f90-b40417f77b53,[Azure App IDs Security and Compliance - All Apps - Microsoft 365 App Certification Microsoft Learn](https://learn.microsoft.com/en-us/microsoft-365-app-certification/azure/azure-apps)
KustoService,2746ea77-4702-4b45-80ca-3c97e680e8b7,[Azure App IDs Security and Compliance - All Apps - Microsoft 365 App Certification Microsoft Learn](https://learn.microsoft.com/en-us/microsoft-365-app-certification/azure/azure-apps)
Outlook Mobile,27922004-5251-4030-b22d-91ecd9a37ea4,[Verify first-party Microsoft applications in sign-in reports - Active Directory Microsoft Learn](https://learn.microsoft.com/en-us/troubleshoot/azure/active-directory/verify-first-party-apps-sign-in)
My Apps,2793995e-0a7d-40d7-bd35-6968ba142197,[Azure App IDs Security and Compliance - All Apps - Microsoft 365 App Certification Microsoft Learn](https://learn.microsoft.com/en-us/microsoft-365-app-certification/azure/azure-apps)
Bot Service CMEK Prod,27a762be-14e7-4f92-899c-151877d6d497,[Azure App IDs Security and Compliance - All Apps - Microsoft 365 App Certification Microsoft Learn](https://learn.microsoft.com/en-us/microsoft-365-app-certification/azure/azure-apps)
Skype Business Voice Directory,27b24f1f-688b-4661-9594-0fdfde972edc,[Azure App IDs Security and Compliance - All Apps - Microsoft 365 App Certification Microsoft Learn](https://learn.microsoft.com/en-us/microsoft-365-app-certification/azure/azure-apps)
Yoxel Signals,285303c0-e070-414a-8d97-f20f510012d6,[Azure App IDs Security and Compliance - All Apps - Microsoft 365 App Certification Microsoft Learn](https://learn.microsoft.com/en-us/microsoft-365-app-certification/azure/azure-apps)
Smy,2858d81b-9eb1-4ba1-a79b-b42390bb0015,[Azure App IDs Security and Compliance - All Apps - Microsoft 365 App Certification Microsoft Learn](https://learn.microsoft.com/en-us/microsoft-365-app-certification/azure/azure-apps)
Microsoft Storefronts,28b567f6-162c-4f54-99a0-6887f387bbcc,[Verify first-party Microsoft applications in sign-in reports - Active Directory Microsoft Learn](https://learn.microsoft.com/en-us/troubleshoot/azure/active-directory/verify-first-party-apps-sign-in)
Egnyte,28b871ff-85bf-48a5-9bee-364f2b74d104,[Azure App IDs Security and Compliance - All Apps - Microsoft 365 App Certification Microsoft Learn](https://learn.microsoft.com/en-us/microsoft-365-app-certification/azure/azure-apps)
Microsoft Authentication Broker,29d9ed98-a469-4536-ade2-f981bc1d605e,[Verify first-party Microsoft applications in sign-in reports - Active Directory Microsoft Learn](https://learn.microsoft.com/en-us/troubleshoot/azure/active-directory/verify-first-party-apps-sign-in)
Azure Iot Hub Publisher App,29f411f1-b2cf-4043-8ac8-2185d7316811,[Azure App IDs Security and Compliance - All Apps - Microsoft 365 App Certification Microsoft Learn](https://learn.microsoft.com/en-us/microsoft-365-app-certification/azure/azure-apps)
PowerBI content pack,2a0c3efa-ba54-4e55-bdc0-770f9e39e9ee,[PowerShell Gallery AccessToken_utils.ps1 0.6.4](https://www.powershellgallery.com/packages/AADInternals/0.6.4/Content/AccessToken_utils.ps1)
Cortana at Work Service,2a486b53-dbd2-49c0-a2bc-278bdfc30833,[Azure App IDs Security and Compliance - All Apps - Microsoft 365 App Certification Microsoft Learn](https://learn.microsoft.com/en-us/microsoft-365-app-certification/azure/azure-apps)
CodeTwo Email Signatures for Office 365,2a93620e-4345-4e3b-9bae-0195f08aab69,[Azure App IDs Security and Compliance - All Apps - Microsoft 365 App Certification Microsoft Learn](https://learn.microsoft.com/en-us/microsoft-365-app-certification/azure/azure-apps)
Office Online Client AAD- Augmentation Loop,2abdc806-e091-4495-9b10-b04d93c3f040,[Verify first-party Microsoft applications in sign-in reports - Active Directory Microsoft Learn](https://learn.microsoft.com/en-us/troubleshoot/azure/active-directory/verify-first-party-apps-sign-in)
Virtual Visits App,2b479c68-8d9b-4e27-9d85-5d74803de734,[Azure App IDs Security and Compliance - All Apps - Microsoft 365 App Certification Microsoft Learn](https://learn.microsoft.com/en-us/microsoft-365-app-certification/azure/azure-apps)
Power Platform Governance Services - TIRPS,2b5e68f0-bdc2-45b0-920a-217d5cbbd505,[Azure App IDs Security and Compliance - All Apps - Microsoft 365 App Certification Microsoft Learn](https://learn.microsoft.com/en-us/microsoft-365-app-certification/azure/azure-apps)
TrustedPublishersProxyService,2b61b865-d0bd-4c60-9efa-6fa934eefaac,[Azure App IDs Security and Compliance - All Apps - Microsoft 365 App Certification Microsoft Learn](https://learn.microsoft.com/en-us/microsoft-365-app-certification/azure/azure-apps)
Contextere AVA,2b6eff1c-9e11-4010-82da-c4f310c251c0,[Azure App IDs Security and Compliance - All Apps - Microsoft 365 App Certification Microsoft Learn](https://learn.microsoft.com/en-us/microsoft-365-app-certification/azure/azure-apps)
MicrosoftTeamsCortanaSkills,2bb78a2a-f8f1-4bc3-8ecf-c1e15a0726e6,[Azure App IDs Security and Compliance - All Apps - Microsoft 365 App Certification Microsoft Learn](https://learn.microsoft.com/en-us/microsoft-365-app-certification/azure/azure-apps)
MIP Exchange Solutions - Teams,2c220739-d44d-4bf7-ba5f-95cf9fb7f10c,[Azure App IDs Security and Compliance - All Apps - Microsoft 365 App Certification Microsoft Learn](https://learn.microsoft.com/en-us/microsoft-365-app-certification/azure/azure-apps)
Qualified,2c951ed5-c5c6-493f-9b02-4b42e3ba536c,[Azure App IDs Security and Compliance - All Apps - Microsoft 365 App Certification Microsoft Learn](https://learn.microsoft.com/en-us/microsoft-365-app-certification/azure/azure-apps)
Viva Learning,2c9e12e5-a56c-4ba1-b768-7a141586c6fe,[Azure App IDs Security and Compliance - All Apps - Microsoft 365 App Certification Microsoft Learn](https://learn.microsoft.com/en-us/microsoft-365-app-certification/azure/azure-apps)
Emailgistics,2c9fb9b7-5112-4a91-af52-f98682bc7bf3,[Azure App IDs Security and Compliance - All Apps - Microsoft 365 App Certification Microsoft Learn](https://learn.microsoft.com/en-us/microsoft-365-app-certification/azure/azure-apps)
Euclid,2ca80e7c-4ad1-444f-88f5-58f92b71b7b0,[Azure App IDs Security and Compliance - All Apps - Microsoft 365 App Certification Microsoft Learn](https://learn.microsoft.com/en-us/microsoft-365-app-certification/azure/azure-apps)
Weekly10,2cc7f3cd-05e3-4ebb-b9f9-d92f1bcda7fb,[Azure App IDs Security and Compliance - All Apps - Microsoft 365 App Certification Microsoft Learn](https://learn.microsoft.com/en-us/microsoft-365-app-certification/azure/azure-apps)
Azure Traffic Manager and DNS,2cf9eb86-36b5-49dc-86ae-9a63135dfa8c,[Azure App IDs Security and Compliance - All Apps - Microsoft 365 App Certification Microsoft Learn](https://learn.microsoft.com/en-us/microsoft-365-app-certification/azure/azure-apps)
Azure Application Change Service,2cfc91a4-7baa-4a8f-a6c9-5f3d279060b8,[Azure App IDs Security and Compliance - All Apps - Microsoft 365 App Certification Microsoft Learn](https://learn.microsoft.com/en-us/microsoft-365-app-certification/azure/azure-apps)
OneNote,2d4d3d8e-2be3-4bef-9f87-7875a61c29de,[Azure App IDs Security and Compliance - All Apps - Microsoft 365 App Certification Microsoft Learn](https://learn.microsoft.com/en-us/microsoft-365-app-certification/azure/azure-apps)
Microsoft Bing Search for Microsoft Edge,2d7f3606-b07d-41d1-b9d2-0d0c9296a6e8,[Verify first-party Microsoft applications in sign-in reports - Active Directory Microsoft Learn](https://learn.microsoft.com/en-us/troubleshoot/azure/active-directory/verify-first-party-apps-sign-in)
EN-UA Dictionary,2da850e4-5b9d-455c-ae32-bec270de4b60,[Azure App IDs Security and Compliance - All Apps - Microsoft 365 App Certification Microsoft Learn](https://learn.microsoft.com/en-us/microsoft-365-app-certification/azure/azure-apps)
Microsoft Dynamics CRM Learning Path,2db8cb1d-fb6c-450b-ab09-49b6ae35186b,[Azure App IDs Security and Compliance - All Apps - Microsoft 365 App Certification Microsoft Learn](https://learn.microsoft.com/en-us/microsoft-365-app-certification/azure/azure-apps)
Dynamics Data Integration,2e49aa60-1bd3-43b6-8ab6-03ada3d9f08b,[Azure App IDs Security and Compliance - All Apps - Microsoft 365 App Certification Microsoft Learn](https://learn.microsoft.com/en-us/microsoft-365-app-certification/azure/azure-apps)
Findit,2e57054c-4326-46ed-8482-40d9a6d20e79,[Azure App IDs Security and Compliance - All Apps - Microsoft 365 App Certification Microsoft Learn](https://learn.microsoft.com/en-us/microsoft-365-app-certification/azure/azure-apps)
EasyLife 365,2e8b6192-7ea3-44a7-921e-86e0afd8cd0a,[Azure App IDs Security and Compliance - All Apps - Microsoft 365 App Certification Microsoft Learn](https://learn.microsoft.com/en-us/microsoft-365-app-certification/azure/azure-apps)
Manager360,2f05d0f8-3f87-4a59-952d-33c69c24a6d9,[Azure App IDs Security and Compliance - All Apps - Microsoft 365 App Certification Microsoft Learn](https://learn.microsoft.com/en-us/microsoft-365-app-certification/azure/azure-apps)
Office 365 Information Protection,2f3f02c9-5679-4a5c-a605-0de55b07d135,[Azure App IDs Security and Compliance - All Apps - Microsoft 365 App Certification Microsoft Learn](https://learn.microsoft.com/en-us/microsoft-365-app-certification/azure/azure-apps)
MS-CE-CXG-MAC-AadShadowRoleWriter,2f5afa01-cdcb-4707-a62a-0803cc994c60,[Azure App IDs Security and Compliance - All Apps - Microsoft 365 App Certification Microsoft Learn](https://learn.microsoft.com/en-us/microsoft-365-app-certification/azure/azure-apps)
Dynamics 365 Resource Scheduling Optimization,2f6713e6-1e21-4a83-91b4-5bf9a2378f81,[Azure App IDs Security and Compliance - All Apps - Microsoft 365 App Certification Microsoft Learn](https://learn.microsoft.com/en-us/microsoft-365-app-certification/azure/azure-apps)
LawToolBox Deadlines & Matter Management - Outlook,2fa142be-31b5-4fda-bd37-591541b501aa,[Azure App IDs Security and Compliance - All Apps - Microsoft 365 App Certification Microsoft Learn](https://learn.microsoft.com/en-us/microsoft-365-app-certification/azure/azure-apps)
LawToolBox,2fa142be-31b5-4fda-bd37-591541b501aa,[Azure App IDs Security and Compliance - All Apps - Microsoft 365 App Certification Microsoft Learn](https://learn.microsoft.com/en-us/microsoft-365-app-certification/azure/azure-apps)
LawToolBox Deadlines and Matter Management - Outlook,2fa142be-31b5-4fda-bd37-591541b501aa,[Azure App IDs Security and Compliance - All Apps - Microsoft 365 App Certification Microsoft Learn](https://learn.microsoft.com/en-us/microsoft-365-app-certification/azure/azure-apps)
AzureDatabricks,2ff814a6-3304-4ab8-85cb-cd0e6f879c1d,[Azure App IDs Security and Compliance - All Apps - Microsoft 365 App Certification Microsoft Learn](https://learn.microsoft.com/en-us/microsoft-365-app-certification/azure/azure-apps)
Microsoft Defender for Cloud Apps,3090ab82-f1c1-4cdf-af2c-5d7a6f3e2cc7,[Verify first-party Microsoft applications in sign-in reports - Active Directory Microsoft Learn](https://learn.microsoft.com/en-us/troubleshoot/azure/active-directory/verify-first-party-apps-sign-in)
IXCloud - Teams Compliance Recording & Intelligence,30c7a49f-89f6-45ba-9938-ed627d102c54,[Azure App IDs Security and Compliance - All Apps - Microsoft 365 App Certification Microsoft Learn](https://learn.microsoft.com/en-us/microsoft-365-app-certification/azure/azure-apps)
Microsoft Teams ADL,30e31aeb-977f-4f4f-a483-b61e8377b302,[Azure App IDs Security and Compliance - All Apps - Microsoft 365 App Certification Microsoft Learn](https://learn.microsoft.com/en-us/microsoft-365-app-certification/azure/azure-apps)
ChallengeRunner,311df43b-4397-4635-9029-de779ed38476,[Azure App IDs Security and Compliance - All Apps - Microsoft 365 App Certification Microsoft Learn](https://learn.microsoft.com/en-us/microsoft-365-app-certification/azure/azure-apps)
SmartPods,312728bc-5d02-49a5-9230-1f09884f6d04,[Azure App IDs Security and Compliance - All Apps - Microsoft 365 App Certification Microsoft Learn](https://learn.microsoft.com/en-us/microsoft-365-app-certification/azure/azure-apps)
SharePoint Notification Service,3138fe80-4087-4b04-80a6-8866c738028a,[Azure App IDs Security and Compliance - All Apps - Microsoft 365 App Certification Microsoft Learn](https://learn.microsoft.com/en-us/microsoft-365-app-certification/azure/azure-apps)
ACV,317696dd-0e3b-4117-9694-ca65942c02f3,[Azure App IDs Security and Compliance - All Apps - Microsoft 365 App Certification Microsoft Learn](https://learn.microsoft.com/en-us/microsoft-365-app-certification/azure/azure-apps)
Azure Cost Management XCloud,3184af01-7a88-49e0-8b55-8ecdce0aa950,[Azure App IDs Security and Compliance - All Apps - Microsoft 365 App Certification Microsoft Learn](https://learn.microsoft.com/en-us/microsoft-365-app-certification/azure/azure-apps)
TeamsLinkedInLiveApp,31ba6d5c-2e14-40fb-bbcb-27dc8a1bfaf5,[Azure App IDs Security and Compliance - All Apps - Microsoft 365 App Certification Microsoft Learn](https://learn.microsoft.com/en-us/microsoft-365-app-certification/azure/azure-apps)
Azure Healthcare APIs RBAC,3274406e-4e0a-4852-ba4f-d7226630abb7,[Azure App IDs Security and Compliance - All Apps - Microsoft 365 App Certification Microsoft Learn](https://learn.microsoft.com/en-us/microsoft-365-app-certification/azure/azure-apps)
NFV Resource Provider,328fd23b-de6e-462c-9433-e207470a5727,[Azure App IDs Security and Compliance - All Apps - Microsoft 365 App Certification Microsoft Learn](https://learn.microsoft.com/en-us/microsoft-365-app-certification/azure/azure-apps)
Power Apps API,331cc017-5973-4173-b270-f0042fddfd75,[Azure App IDs Security and Compliance - All Apps - Microsoft 365 App Certification Microsoft Learn](https://learn.microsoft.com/en-us/microsoft-365-app-certification/azure/azure-apps)
SPAuthEvent,3340b944-b12e-47d0-b46b-35f08ec1d8ee,[Azure App IDs Security and Compliance - All Apps - Microsoft 365 App Certification Microsoft Learn](https://learn.microsoft.com/en-us/microsoft-365-app-certification/azure/azure-apps)
OneDrive Web,33be1cef-03fb-444b-8fd3-08ca1b4d803f,[Azure App IDs Security and Compliance - All Apps - Microsoft 365 App Certification Microsoft Learn](https://learn.microsoft.com/en-us/microsoft-365-app-certification/azure/azure-apps)
Azure Support - Network Watcher,341b7f3d-69b3-47f9-9ce7-5b7f4945fdbd,[Azure App IDs Security and Compliance - All Apps - Microsoft 365 App Certification Microsoft Learn](https://learn.microsoft.com/en-us/microsoft-365-app-certification/azure/azure-apps)
Contact Center,341e195c-b261-4b05-8ba5-dd4a89b1f3e7,[Azure App IDs Security and Compliance - All Apps - Microsoft 365 App Certification Microsoft Learn](https://learn.microsoft.com/en-us/microsoft-365-app-certification/azure/azure-apps)
Power Platform Governance Services,342f61e2-a864-4c50-87de-86abc6790d49,[Azure App IDs Security and Compliance - All Apps - Microsoft 365 App Certification Microsoft Learn](https://learn.microsoft.com/en-us/microsoft-365-app-certification/azure/azure-apps)
Cegid HR Experience,342f90c0-6377-4d59-af95-5e1d8c35af4e,[Azure App IDs Security and Compliance - All Apps - Microsoft 365 App Certification Microsoft Learn](https://learn.microsoft.com/en-us/microsoft-365-app-certification/azure/azure-apps)
Showpad,34430110-c9d4-479a-88eb-e335c7889356,[Azure App IDs Security and Compliance - All Apps - Microsoft 365 App Certification Microsoft Learn](https://learn.microsoft.com/en-us/microsoft-365-app-certification/azure/azure-apps)
Clypp,34ed2c1e-bccf-463d-8fbc-0403e72e89fc,[Azure App IDs Security and Compliance - All Apps - Microsoft 365 App Certification Microsoft Learn](https://learn.microsoft.com/en-us/microsoft-365-app-certification/azure/azure-apps)
OLIVE VLE,350df48b-1bc3-452c-9bfa-e02aa435f8ed,[Azure App IDs Security and Compliance - All Apps - Microsoft 365 App Certification Microsoft Learn](https://learn.microsoft.com/en-us/microsoft-365-app-certification/azure/azure-apps)
Edpuzzle,3540209e-c425-4c2e-b3dc-be79e8c0abee,[Azure App IDs Security and Compliance - All Apps - Microsoft 365 App Certification Microsoft Learn](https://learn.microsoft.com/en-us/microsoft-365-app-certification/azure/azure-apps)
Microsoft Mobile Application Management Backend,354b5b6d-abd6-4736-9f51-1be80049b91f,[Azure App IDs Security and Compliance - All Apps - Microsoft 365 App Certification Microsoft Learn](https://learn.microsoft.com/en-us/microsoft-365-app-certification/azure/azure-apps)
Read Meeting Navigator,35e7f5d2-9978-464f-8710-c7a05d5b9fdf,[Azure App IDs Security and Compliance - All Apps - Microsoft 365 App Certification Microsoft Learn](https://learn.microsoft.com/en-us/microsoft-365-app-certification/azure/azure-apps)
DigitalOps Toolbox,3662a4ca-d108-4f34-9e08-914f33363235,[Azure App IDs Security and Compliance - All Apps - Microsoft 365 App Certification Microsoft Learn](https://learn.microsoft.com/en-us/microsoft-365-app-certification/azure/azure-apps)
Azure Spring Cloud Service Runtime Auth,366cbfa5-46b3-47fb-9d70-55fb923b4833,[Azure App IDs Security and Compliance - All Apps - Microsoft 365 App Certification Microsoft Learn](https://learn.microsoft.com/en-us/microsoft-365-app-certification/azure/azure-apps)
CosmosDB Dedicated Instance,36e2398c-9dd3-4f29-9a72-d9f2cfc47ad9,[Azure App IDs Security and Compliance - All Apps - Microsoft 365 App Certification Microsoft Learn](https://learn.microsoft.com/en-us/microsoft-365-app-certification/azure/azure-apps)
AzureSupportCenter,37182072-3c9c-4f6a-a4b3-b3f91cacffce,[Azure App IDs Security and Compliance - All Apps - Microsoft 365 App Certification Microsoft Learn](https://learn.microsoft.com/en-us/microsoft-365-app-certification/azure/azure-apps)
Microsoft Azure Windows Virtual Machine Sign-in,372140e0-b3b7-4226-8ef9-d57986796201,[Azure App IDs Security and Compliance - All Apps - Microsoft 365 App Certification Microsoft Learn](https://learn.microsoft.com/en-us/microsoft-365-app-certification/azure/azure-apps)
Microsoft Azure Container Apps - Data Plane,3734c1a4-2bed-4998-a37a-ff1a9e7bf019,[Azure App IDs Security and Compliance - All Apps - Microsoft 365 App Certification Microsoft Learn](https://learn.microsoft.com/en-us/microsoft-365-app-certification/azure/azure-apps)
Attender,3741153e-2490-463c-aff7-5283fb1bd1b4,[Azure App IDs Security and Compliance - All Apps - Microsoft 365 App Certification Microsoft Learn](https://learn.microsoft.com/en-us/microsoft-365-app-certification/azure/azure-apps)
Azure Media Services,374b2a64-3b6b-436b-934c-b820eacca870,[Azure App IDs Security and Compliance - All Apps - Microsoft 365 App Certification Microsoft Learn](https://learn.microsoft.com/en-us/microsoft-365-app-certification/azure/azure-apps)
MARS,37ccb541-667a-4428-947a-f5dda698fa3c,[Azure App IDs Security and Compliance - All Apps - Microsoft 365 App Certification Microsoft Learn](https://learn.microsoft.com/en-us/microsoft-365-app-certification/azure/azure-apps)
Microsoft Approval Management,38049638-cc2c-4cde-abe4-4479d721ed44,[Verify first-party Microsoft applications in sign-in reports - Active Directory Microsoft Learn](https://learn.microsoft.com/en-us/troubleshoot/azure/active-directory/verify-first-party-apps-sign-in)
AzNet Security Guard,38808189-fa7a-4d8a-807f-eba01edacca6,[Azure App IDs Security and Compliance - All Apps - Microsoft 365 App Certification Microsoft Learn](https://learn.microsoft.com/en-us/microsoft-365-app-certification/azure/azure-apps)
Office Management API Editor,389b1b32-b5d5-43b2-bddc-84ce938d6737,[PowerShell Gallery AccessToken_utils.ps1 0.6.4](https://www.powershellgallery.com/packages/AADInternals/0.6.4/Content/AccessToken_utils.ps1)
Windows Sign In,38aa3b87-a06d-4817-b275-7a316988d93b,[PowerShell Gallery AccessToken_utils.ps1 0.6.4](https://www.powershellgallery.com/packages/AADInternals/0.6.4/Content/AccessToken_utils.ps1)
Webdashboard,38b3f4fa-4229-4d51-9937-6e4515650c8c,[Azure App IDs Security and Compliance - All Apps - Microsoft 365 App Certification Microsoft Learn](https://learn.microsoft.com/en-us/microsoft-365-app-certification/azure/azure-apps)
SEAL All credentials,38df11dd-582e-4207-be6f-b214675f44a1,[Azure App IDs Security and Compliance - All Apps - Microsoft 365 App Certification Microsoft Learn](https://learn.microsoft.com/en-us/microsoft-365-app-certification/azure/azure-apps)
WorkplaceBuddy,39073da9-c47c-4da8-b57a-3786461db8f4,[Azure App IDs Security and Compliance - All Apps - Microsoft 365 App Certification Microsoft Learn](https://learn.microsoft.com/en-us/microsoft-365-app-certification/azure/azure-apps)
Microsoft People Cards Service,394866fc-eedb-4f01-8536-3ff84b16be2a,[Azure App IDs Security and Compliance - All Apps - Microsoft 365 App Certification Microsoft Learn](https://learn.microsoft.com/en-us/microsoft-365-app-certification/azure/azure-apps)
Omnichannel for CS Provisioning App Primary,3957683c-3a48-4a6c-8706-a6e2d6883b02,[Azure App IDs Security and Compliance - All Apps - Microsoft 365 App Certification Microsoft Learn](https://learn.microsoft.com/en-us/microsoft-365-app-certification/azure/azure-apps)
Skype For Business Powershell Server Application,39624784-6cbe-4a60-afbe-9f46d10fdb27,[Azure App IDs Security and Compliance - All Apps - Microsoft 365 App Certification Microsoft Learn](https://learn.microsoft.com/en-us/microsoft-365-app-certification/azure/azure-apps)
Azure AD Identity Governance - SPO Management,396e7f4b-41ea-4851-b04d-65de6cf1b4a3,[Azure App IDs Security and Compliance - All Apps - Microsoft 365 App Certification Microsoft Learn](https://learn.microsoft.com/en-us/microsoft-365-app-certification/azure/azure-apps)
Autopilot Workflows,3970caf2-7c33-4668-8c74-91f3e094b789,[Azure App IDs Security and Compliance - All Apps - Microsoft 365 App Certification Microsoft Learn](https://learn.microsoft.com/en-us/microsoft-365-app-certification/azure/azure-apps)
IC3 Gateway,39aaf054-81a5-48c7-a4f8-0293012095b9,[Azure App IDs Security and Compliance - All Apps - Microsoft 365 App Certification Microsoft Learn](https://learn.microsoft.com/en-us/microsoft-365-app-certification/azure/azure-apps)
SWOOP Analytics,39cb9f28-b9d0-4bf7-a4f4-d9e38508a0db,[Azure App IDs Security and Compliance - All Apps - Microsoft 365 App Certification Microsoft Learn](https://learn.microsoft.com/en-us/microsoft-365-app-certification/azure/azure-apps)
Move Work Forward with Jira,39d845a0-3fa2-4fba-acc2-61afe40cfcea,[Azure App IDs Security and Compliance - All Apps - Microsoft 365 App Certification Microsoft Learn](https://learn.microsoft.com/en-us/microsoft-365-app-certification/azure/azure-apps)
Dynamics Provision,39e6ea5b-4aa4-4df2-808b-b6b5fb8ada6f,[Azure App IDs Security and Compliance - All Apps - Microsoft 365 App Certification Microsoft Learn](https://learn.microsoft.com/en-us/microsoft-365-app-certification/azure/azure-apps)
Contact Center,3a08b250-02ce-4316-94f7-069f4ae0c41b,[Azure App IDs Security and Compliance - All Apps - Microsoft 365 App Certification Microsoft Learn](https://learn.microsoft.com/en-us/microsoft-365-app-certification/azure/azure-apps)
Blippbuilder,3a292e75-bd45-4b7a-ab85-2032a9c9c4c1,[Azure App IDs Security and Compliance - All Apps - Microsoft 365 App Certification Microsoft Learn](https://learn.microsoft.com/en-us/microsoft-365-app-certification/azure/azure-apps)
O365 Customer Monitoring,3aa5c166-136f-40eb-9066-33ac63099211,[Azure App IDs Security and Compliance - All Apps - Microsoft 365 App Certification Microsoft Learn](https://learn.microsoft.com/en-us/microsoft-365-app-certification/azure/azure-apps)
Azure Smart Alerts,3af5a1e8-2459-45cb-8683-bcd6cccbcc13,[Azure App IDs Security and Compliance - All Apps - Microsoft 365 App Certification Microsoft Learn](https://learn.microsoft.com/en-us/microsoft-365-app-certification/azure/azure-apps)
ChatMigrationService1P,3af5adde-460d-4bc1-ada0-fc648af8fefb,[Azure App IDs Security and Compliance - All Apps - Microsoft 365 App Certification Microsoft Learn](https://learn.microsoft.com/en-us/microsoft-365-app-certification/azure/azure-apps)
AzureBackupReporting,3b2fa68d-a091-48c9-95be-88d572e08fb7,[Azure App IDs Security and Compliance - All Apps - Microsoft 365 App Certification Microsoft Learn](https://learn.microsoft.com/en-us/microsoft-365-app-certification/azure/azure-apps)
SharePoint Online Web Client Extensibility Isolated,3bc2296e-aa22-4ed2-9e1e-946d05afa6a2,[Azure App IDs Security and Compliance - All Apps - Microsoft 365 App Certification Microsoft Learn](https://learn.microsoft.com/en-us/microsoft-365-app-certification/azure/azure-apps)
Autopilot Workflows,3bc7be07-dc8d-4dc4-a1be-0e8c7ebe9ebc,[Azure App IDs Security and Compliance - All Apps - Microsoft 365 App Certification Microsoft Learn](https://learn.microsoft.com/en-us/microsoft-365-app-certification/azure/azure-apps)
Demeter.WorkerRole,3c31d730-a768-4286-a972-43e9b83601cd,[Azure App IDs Security and Compliance - All Apps - Microsoft 365 App Certification Microsoft Learn](https://learn.microsoft.com/en-us/microsoft-365-app-certification/azure/azure-apps)
WeveEngine,3c896ded-22c5-450f-91f6-3d1ef0848f6e,[Azure App IDs Security and Compliance - All Apps - Microsoft 365 App Certification Microsoft Learn](https://learn.microsoft.com/en-us/microsoft-365-app-certification/azure/azure-apps)
Microsoft.NotificationHubs,3caf7e80-c1dc-4cbc-811c-d281c9d5e45c,[Azure App IDs Security and Compliance - All Apps - Microsoft 365 App Certification Microsoft Learn](https://learn.microsoft.com/en-us/microsoft-365-app-certification/azure/azure-apps)
DSMN8,3cf056e3-1c08-4cda-b6d6-962f7c7a1f7c,[Azure App IDs Security and Compliance - All Apps - Microsoft 365 App Certification Microsoft Learn](https://learn.microsoft.com/en-us/microsoft-365-app-certification/azure/azure-apps)
Office 365 Client Admin,3cf6df92-2745-4f6f-bbcf-19b59bcdb62a,[Azure App IDs Security and Compliance - All Apps - Microsoft 365 App Certification Microsoft Learn](https://learn.microsoft.com/en-us/microsoft-365-app-certification/azure/azure-apps)
teamsupgradeorchestrator-app,3cf798a6-b0c5-4d5c-9645-b5273d471fc5,[Azure App IDs Security and Compliance - All Apps - Microsoft 365 App Certification Microsoft Learn](https://learn.microsoft.com/en-us/microsoft-365-app-certification/azure/azure-apps)
absentify,3dbcb38b-8d2f-4e97-9bd1-975fb770b31c,[Azure App IDs Security and Compliance - All Apps - Microsoft 365 App Certification Microsoft Learn](https://learn.microsoft.com/en-us/microsoft-365-app-certification/azure/azure-apps)
Teams Approvals,3e050dd7-7815-46a0-8263-b73168a42c10,[Azure App IDs Security and Compliance - All Apps - Microsoft 365 App Certification Microsoft Learn](https://learn.microsoft.com/en-us/microsoft-365-app-certification/azure/azure-apps)
DZ Notification Bot,3e63f4cc-5aac-4774-8d2d-fc7b516f9f51,[Azure App IDs Security and Compliance - All Apps - Microsoft 365 App Certification Microsoft Learn](https://learn.microsoft.com/en-us/microsoft-365-app-certification/azure/azure-apps)
Casedoc Virtual Hearing,3e701664-cc46-49e4-b356-1a7ac6500998,[Azure App IDs Security and Compliance - All Apps - Microsoft 365 App Certification Microsoft Learn](https://learn.microsoft.com/en-us/microsoft-365-app-certification/azure/azure-apps)
Evocom,3e745135-a761-48a7-ab54-5c0277b2e642,[Azure App IDs Security and Compliance - All Apps - Microsoft 365 App Certification Microsoft Learn](https://learn.microsoft.com/en-us/microsoft-365-app-certification/azure/azure-apps)
Office 365 Import Service,3eb95cef-b10f-46fe-94e0-969a3d4c9292,[Azure App IDs Security and Compliance - All Apps - Microsoft 365 App Certification Microsoft Learn](https://learn.microsoft.com/en-us/microsoft-365-app-certification/azure/azure-apps)
Azure Application Change Service,3edcf11f-df80-41b2-a5e4-7e213cca30d1,[Azure App IDs Security and Compliance - All Apps - Microsoft 365 App Certification Microsoft Learn](https://learn.microsoft.com/en-us/microsoft-365-app-certification/azure/azure-apps)
Meetgeek,3f1a3775-c192-4e8c-ae48-d70d144a46c2,[Azure App IDs Security and Compliance - All Apps - Microsoft 365 App Certification Microsoft Learn](https://learn.microsoft.com/en-us/microsoft-365-app-certification/azure/azure-apps)
officeatwork - Slide Chooser for Office,3f2fa737-e376-4c4d-a49d-b8eb08ca7e8d,[Azure App IDs Security and Compliance - All Apps - Microsoft 365 App Certification Microsoft Learn](https://learn.microsoft.com/en-us/microsoft-365-app-certification/azure/azure-apps)
Slide Chooser,3f2fa737-e376-4c4d-a49d-b8eb08ca7e8d,[Azure App IDs Security and Compliance - All Apps - Microsoft 365 App Certification Microsoft Learn](https://learn.microsoft.com/en-us/microsoft-365-app-certification/azure/azure-apps)
